dataset	class_dir	ecotaxa_taxon_id
tara_pacific_decknet	Phalacroma	31661
tara_pacific_decknet	Ornithocercus	31663
tara_pacific_decknet	Dinophysis	31666
tara_pacific_decknet	Ceratocorys	31677
tara_pacific_decknet	Pyrophacus	31699
tara_pacific_decknet	Protoperidinium	31853
tara_pacific_decknet	Pyrocystaceae	31874
tara_pacific_decknet	Amphibelone	54903
tara_pacific_decknet	Chaetoceros peruvianus	55846
tara_pacific_decknet	Planktoniella sol	55930
tara_pacific_decknet	Codonellopsis orthoceras	57392
tara_pacific_decknet	Ornithocercus quadratus<Ornithocercus	58201
tara_pacific_decknet	Ornithocercus magnificus<Ornithocercus	58202
tara_pacific_decknet	Ornithocercus heteroporus	58203
tara_pacific_decknet	Podolampas	58422
tara_pacific_decknet	duplicate	84961
tara_pacific_decknet	detritus<not-living	84963
tara_pacific_decknet	larvae<Annelida	84965
tara_pacific_decknet	tail<Appendicularia	85004
tara_pacific_decknet	artefact	85008
tara_pacific_decknet	pennate<Bacillariophyta	85010
tara_pacific_decknet	t001	85012
tara_pacific_decknet	t002	85013
tara_pacific_decknet	t003	85014
tara_pacific_decknet	t004	85015
tara_pacific_decknet	dark<detritus	85054
tara_pacific_decknet	light<detritus	85055
tara_pacific_decknet	bubble	85060
tara_pacific_decknet	badfocus<artefact	85061
tara_pacific_decknet	othertocheck	85069
tara_pacific_decknet	fiber<detritus	85076
tara_pacific_decknet	egg<other	85078
tara_pacific_decknet	multiple<other	85079
tara_pacific_decknet	pollen	85091
tara_pacific_decknet	cyst<unicellular	85096
tara_pacific_decknet	part<Crustacea	85115
tara_pacific_decknet	nauplii<Crustacea	85116
tara_pacific_decknet	Appendicularia<Tunicata	85123
tara_pacific_decknet	veliger<Mollusca	85128
tara_pacific_decknet	Pseudo-Nitzschia chain	85198
tara_pacific_decknet	dark<sphere	85217
tara_pacific_decknet	chainthin	85352
tara_pacific_decknet	chainlarge	85353
tara_pacific_decknet	spines<Acantharia	85355
tara_pacific_decknet	Oxytoxum	85674
tara_pacific_decknet	Asterolamprales	92151
tara_pacific_decknet	Chaetoceros protuberans	92203
tara_pacific_decknet	Climacodium	92214
tara_pacific_decknet	Hemidiscus cuneiformis	92343
tara_pacific_decknet	Cladopyxis quadrispina	92501
tara_pacific_decknet	Ornithocercus steinii	92505
tara_pacific_decknet	Rhizosolenia inter. Richelia	92691
tara_pacific_decknet	Climacodium inter. Crocosphaera	92693
tara_pacific_decknet	Poroecus	92706
tara_pacific_decknet	multiple<Diatoma	92750
tara_pacific_decknet	Cladopyxis	92753
tara_pacific_decknet	Richelia	92769
tara_pacific_decknet	Rhabdonellopsis	92773
tara_pacific_decknet	Thalassionematales	92831
tara_pacific_decknet	trochozoa	92838
tara_pacific_decknet	crumple sphere	92842
tara_pacific_decknet	egg sac<egg	92843
tara_pacific_decknet	cyano a	93052
tara_pacific_decknet	cyano b	93053
tara_pacific_decknet	Neoceratium geniculatum	93068
tara_pacific_decknet	Acantharia	93382
tara_pacific_decknet	Amplectella	93387
tara_pacific_decknet	light<sphere	93388
tara_pacific_decknet	part<Ciliophora	93615
tara_pacific_decknet	attached	93637
tara_pacific_decknet	polar view	94057
tara_pacific_decknet	lightrods<othertocheck	94071
tara_pacific_decknet	darkrods<othertocheck	94072
tara_pacific_decknet	othersphere	94482
tara_pacific_decknet	Bacillariaceae	94614
tara_pacific_hsn	Harosa	5
tara_pacific_hsn	Cyanobacteria<Negibacteria	233
tara_pacific_hsn	Mollusca	11498
tara_pacific_hsn	Echinodermata	11509
tara_pacific_hsn	Chaetognatha<Animalia	11514
tara_pacific_hsn	Bryozoa	11515
tara_pacific_hsn	Annelida	11518
tara_pacific_hsn	Foraminifera	11758
tara_pacific_hsn	Crustacea	12846
tara_pacific_hsn	Scyphozoa	12863
tara_pacific_hsn	Hydrozoa	12865
tara_pacific_hsn	Ophiuroidea	12873
tara_pacific_hsn	Cephalopoda	12906
tara_pacific_hsn	Bivalvia<Mollusca	12908
tara_pacific_hsn	Spumellaria	13378
tara_pacific_hsn	Collodaria	13381
tara_pacific_hsn	Insecta	16627
tara_pacific_hsn	Nudibranchia	16797
tara_pacific_hsn	Eumalacostraca	25824
tara_pacific_hsn	Oikopleuridae	25932
tara_pacific_hsn	Salpida	25942
tara_pacific_hsn	Doliolida	25944
tara_pacific_hsn	Siphonophorae	25990
tara_pacific_hsn	Gymnosomata	26427
tara_pacific_hsn	Cavoliniidae	26480
