Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
flowcamnet,Dinophyceae,chromista,myzozoa,dinophyceae,gonyaulacales,,,,gonyaulacales,True,True,living,full_body,Q5882696,109391.0,40984.0,317024.0,240
medplanktonset,Gonyaulax_spp,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,,gonyaulax,True,True,living,full_body,Q5582128,109519.0,2912.0,317053.0,240
whoi,Gonyaulax,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,,gonyaulax,True,True,living,full_body,Q5582128,109519.0,2912.0,317053.0,240
medplanktonset,Gonyaulax_polygramma,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,polygramma,gonyaulax polygramma,True,True,living,full_body,Q68447300,110035.0,293646.0,317053.0,240
syke_ifcb_2022,Gonyaulax_verior,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,verior,gonyaulax verior,True,True,living,full_body,Q68447632,110045.0,2723146.0,317053.0,240
planktoscope,Gossleriella,chromista,heterokontophyta,bacillariophyceae,coscinodiscales,gossleriellaceae,gossleriella,,gossleriella,True,True,living,full_body,Q21230272,602203.0,216785.0,74447.0,720
global_uvp5,Pleuroncodes,animalia,arthropoda,malacostraca,decapoda,munididae,grimothea,,grimothea,True,True,living,full_body,Q21230498,387302.0,1124587.0,1364967.0,645
flowcamnet,Guinardia,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,,guinardia,True,True,living,full_body,Q25366444,149111.0,216800.0,345399.0,624
whoi,Guinardia_delicatula,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True,living,full_body,Q59455890,149112.0,1244696.0,604275.0,624
whoi,G_delicatula_external_parasite,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True,living,parasite,Q59455890,149112.0,1244696.0,604275.0,624
whoi,G_delicatula_parasite,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True,living,parasite,Q59455890,149112.0,1244696.0,604275.0,624
whoi,G_delicatula_detritus,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,False,False,detritus,,Q59455890,149112.0,1244696.0,604275.0,624
